startup_name ;Industries;Location;Investor Name;Lead Investor ;Number of Investors;Funding Type ;Month;Day;Year
Snorkel AI;Artificial Intelligence (AI), Data Collection and Labeling, Enterprise Software, Machine Learning;Redwood City, California, United States, North America;BlackRock, Boston Trust Walden Company, Greylock, GV, IQT, Lightspeed Venture Partners, Nepenthe Capital;Lightspeed Venture Partners;7;Series B;Apr;7;2021
Fuel50;Artificial Intelligence (AI), Career Planning, Cloud Computing, Employee Benefits, Employment, Human Resources, Marketplace, Recruiting, SaaS, Training;Laguna Niguel, California, United States, North America;PeakSpan Capital, Shearwater Capital;PeakSpan Capital, Shearwater Capital;2;Series B;apr;8;2021
Tortuga AgTech;Agriculture, AgTech, Artificial Intelligence (AI), Farming, Machine Learning;Denver, Colorado, United States, North America;AME Cloud Ventures, Ceres Partners, Grit Ventures, Lewis & Clark AgriFood, Morado Ventures, REMUS Capital, Root Ventures, Spero Ventures, The Colorado Impact Fund;Lewis & Clark AgriFood;9;Series A;Apr;8;2021
Alyce;Advertising, Artificial Intelligence (AI), Machine Learning, SaaS, Software;Framingham, Massachusetts, United States, North America;Alumni Ventures, Boston Seed Capital, General Catalyst, Golden Ventures, Manifest, Morningside Venture Partners, Visible Ventures;General Catalyst;7;Series B;Apr;8;2021
CrowdAI;Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Geospatial, Image Recognition, Machine Learning;San Francisco, California, United States, North America;Jerry Yang, Susa Ventures, SV Angel, Threshold, Y Combinator;Threshold;5;Series A;Apr;8;2021
Comet;Artificial Intelligence (AI), Developer Tools, Machine Learning, Software;New York, New York, United States, North America;Scale Venture Partners, Trilogy Equity Partners, Two Sigma Ventures;Scale Venture Partners;3;Series A;Apr;8;2021
Andium;Computer, Enterprise Software, Software;New York, New York, United States, North America;"
Climate Investment, Talis Capital, Tom Miglis";Climate Investment;3;Series A;Apr;8;2021
DoControl;Cloud Security, Cyber Security, Information Technology, Productivity Tools, Risk Management, SaaS;New York, New York, United States, North America;Cardumen Capital, CrowdStrike Falcon Fund, RTP Global, StageOne Ventures;RTP Global;4;Series A;Apr;12;2021
Snappy Kraken;Marketing, SaaS, Software;Ormond Beach, Florida, United States, North America;Bicknell Family Holding Company, FINTOP Capital, Flyover Capital;FINTOP Capital;3;Series A;Apr;13;2021
Cohere Health;Consumer Software, Health Care, SaaS, Software;Boston, Massachusetts, United States, North America;Deerfield, Define Ventures, Flare Capital Partners, Longitude Capital, Polaris Partners;Polaris Partners;5;Series B;Apr;13;2021
Meroxa;Analytics, Big Data, Business Intelligence, Cloud Data Services, Data Integration, Database, IT Infrastructure;San Francisco, California, United States, North America;Amplify Partners, Drive Capital, Hustle Fund, Root Ventures;Drive Capital;4;Series A;Apr;13;2021
Gradient AI;Artificial Intelligence (AI), Insurance, InsurTech, Machine Learning;Boston, Massachusetts, United States, North America;American Family Ventures, BSC Capital, Forté Ventures, MassMutual Ventures, Sandbox Insurtech Ventures, Stone Point Capital;American Family Ventures;6;Series B;Apr;14;2021
Virtualitics;Artificial Intelligence (AI), Government, Machine Learning, Military, Natural Language Processing;Pasadena, California, United States, North America;Centricus, North Sound Ventures, The Venture Reality Fund/VRF;North Sound Ventures;3;Series B;Apr;14;2021
Amira Learning;Artificial Intelligence (AI), Education, Machine Learning;San Francisco, California, United States, North America;Authentic Ventures, Owl Ventures, Rethink Education, Vertical Venture Partners;Authentic Ventures;4;Series B;Apr;14;2021
TetraScience;Biotechnology, Data Integration, Data Management, Internet of Things, Life Science, Pharmaceutical, Software;Boston, Massachusetts, United States, North America;Alkeon Capital, Insight Partners;Alkeon Capital, Insight Partners;2;Series B;apr;15;2021
Chili Piper;B2B, Enterprise Software, Meeting Software, Productivity Tools, SaaS, Sales, Software;New York, New York, United States, North America;Base10 Partners, Gradient, Tiger Global Management;Tiger Global Management;3;Series B;Apr;15;2021
Canvas;Artificial Intelligence (AI), Construction, Machine Learning, Real Estate, Robotics;San Francisco, California, United States, North America;Alumni Ventures, Anchor Capital GP, Brick & Mortar Ventures, Green D Ventures, Grit Labs, Grit Ventures, Innovation Endeavors, Menlo Ventures, Obvious Ventures, Suffolk Technologies;Menlo Ventures;10;Series A;Apr;15;2021
Bigeye;Analytics, Artificial Intelligence (AI), Machine Learning, Software;San Francisco, California, United States, North America;645 Ventures, basecase capital, BBQ Capital, Bossa Invest, Christopher Golda, Costanoa Ventures, Sequoia Capital;"
Sequoia Capital";7;Series A;Apr;15;2021
Persefoni AI;Analytics, Artificial Intelligence (AI), CleanTech, GreenTech, SaaS;Mesa, Arizona, United States, North America;NGP Energy Technology Partners, Rice Investment Group, Sallyport Investments;Rice Investment Group;3;Series A;Apr;15;2021
Encamp;Data Management, Enterprise Software, Environmental Consulting, Environmental Engineering, Software;Indianapolis, Indiana, United States, North America;Allos Ventures, High Alpha, IU Ventures, OpenView;OpenView;4;Series B;Apr;15;2021
PulseData;Artificial Intelligence (AI), Biotechnology, Enterprise Software, Health Care, Hospital, Machine Learning, Medical;New York, New York, United States, North America;Alumni Ventures, Bain Capital Private Equity, Milkbox Partners, Two Bear Capital;Bain Capital Private Equity, Two Bear Capital;4;Series A;Apr;19;2021
RazorMetrics;Health Care, Information Technology, SaaS;Austin, Texas, United States, North America;Joel Trammell, Jonathan Weiner, Sopris Capital Associates;"
Sopris Capital Associates";3;Series A;Apr;20;2021
RippleMatch;Consulting, Employment, Enterprise Software, Human Resources, Recruiting;New York, New York, United States, North America;Accomplice, AlleyCorp, Bullpen Capital, G20 Ventures, Gaingels, Invus Opportunities, Renegade Partners, Work-Bench;"
Invus Opportunities";8;Series A;Apr;20;2021
Archipelago;Artificial Intelligence (AI), Machine Learning, Risk Management, Software;New York, New York, United States, North America;Canaan Partners, Ignition Partners, Prologis Ventures, Scale Venture Partners, Stone Point Capital, Zigg Capital;Scale Venture Partners;6;Series B;Apr;20;2021
Candex;Business Information Systems, Cloud Management, FinTech, Payments;"New York, New York, United States, North America
";Altos Ventures, Amex Ventures, Edenred Capital Partners, JP Morgan, NFX;Altos Ventures;5;Series A;Apr;20;2021
Turnkey Lender;B2B, Cloud Computing, Enterprise Software, FinTech, Lending, SaaS;Austin, Texas, United States, North America;KFW DEG, Majuven, OSK Ventures International, Seeds Capital, Vertex Ventures;KFW DEG;5;Series A;Apr;20;2021
Datarails;Financial Services, FinTech, Information Technology, SaaS, Software;New York, New York, United States, North America;Innovation Endeavors, Legziel Family, Vertex Ventures Israel, Zeev Ventures;"
Zeev Ventures";4;Series A;Apr;20;2021
AppOmni;Cloud Security, Cyber Security, Enterprise Software, SaaS, Software;San Mateo, California, United States, North America;ClearSky, Costanoa Ventures, Inner Loop Capital, Salesforce Ventures, Scale Venture Partners, Silicon Valley Data Capital, Zane Lackey;Scale Venture Partners;7;Series B;Apr;21;2021
FreeAgent CRM;CRM, Customer Service, Project Management, Sales, Sales Automation, Software;Campbell, California, United States, North America;Altara Ventures, BlueRun Ventures, Pelion Venture Partners;Pelion Venture Partners;3;Series A;Apr;21;2021
Element451;Analytics, CRM, Marketing, Software;Raleigh, North Carolina, United States, North America;Cofounders Capital, Cultivation Capital;Cultivation Capital;2;Series A;Apr;22;2021
Strategikon Pharma ;B2B, Biotechnology, PaaS, Pharmaceutical, SaaS, Software;San Rafael, California, United States, North America;Alumni Ventures, Band of Angels, Bascom Ventures, Golden Seeds, Life Science Angels, Osage Venture Partners, Saratoga Ventures, Tech Coast Angels, Wing Venture Capital;Osage Venture Partners;9;Series A;Apr;22;2021
Lucata Corporation;Analytics, Artificial Intelligence (AI), Big Data, Computer, Database, Hardware, Machine Learning, Software;New York, New York, United States, North America;Blu Venture Investors, JHH vc, John Donovan, Maulick Capital, Middleburg Capital Development, Notre Dame Pit Road Fund, Samsung Ventures, Varian;John Donovan;8;Series B;Apr;22;2021
Cherre;Analytics, Big Data, Commercial Real Estate, Data Integration, Real Estate;New York, New York, United States, North America;Carthona Capital, Glilot Capital Partners, Intel Capital, Mark Schwartz, Navitas Capital, Silicon Valley Bank, Trustbridge Partners;Trustbridge Partners;7;Series B;Apr;22;2021
Leaf Trade;B2B, Cannabis, CRM, E-Commerce, Marketplace, Supply Chain Management, Wholesale;Chicago, Illinois, United States, North America;Artemis Growth Partners, HPA (Hyde Park Angels);Artemis Growth Partners;2;Series A;Apr;23;2021
Tellius;Analytics, Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Predictive Analytics;Herndon, Virginia, United States, North America;Grotech Ventures, Sands Capital Ventures;Sands Capital Ventures;2;Series A;Apr;27;2021
Databook;Enterprise Software, Generative AI, SaaS, Sales;Palo Alto, California, United States, North America;Bossa Invest, Clark Landry, Firebolt Ventures, Haystack, M12 - Microsoft's Venture Fund, Salesforce Ventures, Threshold;M12 - Microsoft's Venture Fund;7;Series A;Apr;27;2021
CareStack;Dental, Health Care, Medical, SaaS;Kissimmee, Florida, United States, North America;Accel, Delta Dental, Eight Roads Ventures, F-Prime, Steadview Capital;Delta Dental, Steadview Capital;5;Series B;Apr;27;2021
Arturo;Artificial Intelligence (AI), InsurTech, Machine Learning, Predictive Analytics, Property Management;Denver, Colorado, United States, North America;Atlantic Bridge, Crosslink Capital, IAG Firemark Ventures, RPS Ventures;Atlantic Bridge;4;Series B;Apr;27;2021
Connecteam;Computer, SaaS, Software, Virtual Workforce;New York, New York, United States, North America;Avishai Abrahami, Insight Partners, O.G. Venture Partners;Avishai Abrahami, Insight Partners, O.G. Venture Partners;3;Series B;Apr;28;2021
Alchemy;Blockchain, Developer APIs, Developer Platform, Productivity Tools, Web3;San Francisco, California, United States, North America;Addition, Charles Schwab, Coatue, Coinbase Ventures, Communitas Capital Partners, DFJ Growth, Genies, Glazer Family, Jared Leto, JAY-Z Shawn Carter, Jerry Yang, John Hennessy, K5 Global, Neythri Futures Fund, Pantera Capital, Reid Hoffman, Samsung NEXT, SignalFire, Stanford University, The Chainsmokers;Addition, Coatue;20;Series B;Apr;28;2021
Logixboard;CRM, Freight Service, Logistics, Software, Supply Chain Management;Seattle, Washington, United States, North America;Bragiel Brothers, F-Prime, Founders' Co-op, Liquid 2 Ventures, Redpoint, Social Leverage, Techstars;Redpoint;7;Series A;Apr;28;2021
Opsera;Artificial Intelligence (AI), DevOps, Information Technology, Software;Palo Alto, California, United States, North America;Clear Ventures, Felicis, Firebolt Ventures, HMG Ventures, Trinity Ventures;Felicis;5;Series A;Apr;28;2021
BoostUp.ai;Accounting, Analytics, Artificial Intelligence (AI), Finance, Information Technology, Machine Learning, Predictive Analytics, Sales, Sales Automation, Software;Santa Clara, California, United States, North America;Benhamou Global Ventures, Canaan Partners, Emergent Ventures, Lorimer Ventures;Canaan Partners;4;Series A;Apr;28;2021
RapidDeploy;Analytics, Cloud Data Services, Productivity Tools, Public Safety, SaaS, Software;Austin, Texas, United States, North America;Clearvision Ventures, Ericsson Ventures, General Motors Ventures, GreatPoint Ventures, Morpheus Ventures, Samsung NEXT, Tao Capital Partners, Tau Ventures;Morpheus Ventures;8;Series B;Apr;29;2021
Actuate;Artificial Intelligence (AI), Information Technology, Machine Learning, Security, Software;New York, New York, United States, North America;Bling Capital, Context Ventures, OCA Ventures, Scribble Ventures, Tensility Venture Partners, Tribeca Venture Partners, Upside Partnership;Tribeca Venture Partners;7;Series A;Apr;29;2021
TerraTrue;Compliance, Privacy, SaaS, Security, Software;San Francisco, California, United States, North America;3L Capital, Bossa Invest, Chris Sacca, overtime.vc;3L Capital;4;Series A;Apr;29;2021
Rivery.io;Analytics, Big Data, Cloud Data Services, Data Integration, Data Visualization, Enterprise Software, SaaS;New York, New York, United States, North America;Entrée Capital, State of Mind Ventures;Entrée Capital;2;Series A;Apr;30;2021
Pachama;Artificial Intelligence (AI), CleanTech, Forestry, Machine Learning, Marketplace;San Francisco, California, United States, North America;Breakthrough Energy Ventures, Climate Pledge Fund, Fabrice Grinda, FJ Labs, James Beshara, Joe Gebbia, Lowercarbon Capital, Manu Ginobilli, Marcos Galperin, MCJ, Oreilly AlphaTech Ventures, Positive Ventures, Ram Shriram, Sahil Lavingia, Saltwater Capital, Tomi Pierucci;Breakthrough Energy Ventures;16;Series A;Apr;30;2021
Path Robotics;Artificial Intelligence (AI), Big Data, Machine Learning, Robotics;Columbus, Ohio, United States, North America;Addition, Basis Set Ventures, Drive Capital, Lemnos VC;Addition;4;Series B;May;3;2021
Prevailion;Artificial Intelligence (AI), Business Intelligence, Cyber Security, Machine Learning, Predictive Analytics;The Woodlands, Texas, United States, North America;Accenture Ventures, Allstate Strategic Ventures, Irongrey;Allstate Strategic Ventures;3;Series A;May;4;2021
Persona;Cyber Security, Fraud Detection, Identity Management, Information Technology, SaaS;San Francisco, California, United States, North America;Coatue, Hyphen Capital, Index Ventures;Index Ventures;3;Series B;May;4;2021
Crayon;Analytics, Artificial Intelligence (AI), Business Development, Business Intelligence, Machine Learning, Marketing, SaaS, Software;Boston, Massachusetts, United States, North America;Baird Capital, Baseline Ventures, Bedrock, Chaos Ventures, Croft & Bender, Gaingels, Gutbrain Ventures, Oyster Funds, Trajectory Ventures;Baird Capital;9;Series B;May;4;2021
JupiterOne;Cloud Management, Cloud Security, Cyber Security, Information Technology;Morrisville, North Carolina, United States, North America;Bain Capital Ventures, Cisco Investments, Jason Chan, Sapphire Ventures, Splunk Ventures, Sri Viswanath;Sapphire Ventures;6;Series B;May;4;2021
StartTree;Analytics, PaaS, Software;Mountain View, California, United States, North America;Bain Capital Ventures, CRV, Notable Capital;Bain Capital Ventures;3;Series A;May;5;2021
Timescale;Computer, Database, Information Services, Software;New York, New York, United States, North America;Benchmark, Icon Ventures, New Enterprise Associates, Redpoint, Two Sigma Ventures;Redpoint;5;Series B;May;5;2021
Oculii;Artificial Intelligence (AI), Automotive, Machine Learning, Sensor, Software;Dayton, Ohio, United States, North America;ACVC Partners, Catapult Ventures, Conductive Ventures, Hella Ventures, MESH, PHI MANAGEMENT, R7 Partners, Schox Venture Capital, Signature Bank, Susquehanna International Group, SV Tech Ventures, Taiwania Capital Management Corporation, VectoIQ LLC;Catapult Ventures, Conductive Ventures;13;Series B;May;6;2021
CofnitOps;Artificial Intelligence (AI), Information Technology, Logistics, Machine Learning, SaaS, Software Engineering, Warehouse Automation;Austin, Texas, United States, North America;Bossa Invest, CEAS Investments, Chicago Ventures, FirstMark, Haystack, Schematic Ventures;FirstMark;6;Series A;May;6;2021
SightCall;Apps, Artificial Intelligence (AI), Augmented Reality, Cloud Computing, Developer APIs, Enterprise Software, Mobile, SaaS;Redwood City, California, United States, North America;Bpifrance, InfraVia Capital Partners;InfraVia Capital Partners;2;Series B;may;11;2021
VIA;Analytics, Artificial Intelligence (AI), Blockchain, Machine Learning, Predictive Analytics;Somerville, Massachusetts, United States, North America;Prefix Capital, The Westly Group;The Westly Group;2;Series A;May;11;2021
SiMa.ai;Artificial Intelligence (AI), Embedded Systems, Machine Learning, Semiconductor, Software;San Jose, California, United States, North America;ND Capital, Adage Capital Management, Alter Venture Partners, Amplify Partners, Dell Technologies Capital, Fidelity, Wing Venture Capital;Fidelity;7;Series B;May;11;2021
Cortex Sustainability Intelligence;Analytics, Energy Efficiency, Machine Learning, Real Estate, Real Time, Software;Nashville, Tennessee, United States, North America;4490 Ventures, DVC;4490 Ventures;2;Series A;may;12;2021
Forte;Blockchain, Developer Platform, eSports, Gaming, Video Games;San Francisco, California, United States, North America;Andreessen Horowitz, Battery Ventures, Griffin Gaming Partners, Intersection Fintech Ventures, Intersection Growth Partners, Unbound Ventures, Union Grove Venture Partners;Griffin Gaming Partners;7;Series A;May;12;2021
Treasury Prime;"
Banking, Developer APIs, Financial Services, FinTech, Payments";San Francisco, California, United States, North America;Deciens Capital, JAM FINTOP, QED Investors, SaaStr Fund, Susa Ventures;Deciens Capital, QED Investors;5;Series B;May;12;2021
Transcend;Information Technology, Infrastructure, SaaS, Software;Princeton, New Jersey, United States, North America;Aspen Capital Group, HG Ventures, PureTerra Ventures, Vespucci Partners;Aspen Capital Group, HG Ventures, PureTerra Ventures;4;Series A;May;12;2021
Clinch;Ad Server, Advertising, Artificial Intelligence (AI), Digital Marketing, Digital Media, E-Commerce, Generative AI, Marketing, SaaS, Social Media;New York, New York, United States, North America;D Squared Capital, Marbruck;D Squared Capital;2;Series A ;may;13;2021
Vertalo;Blockchain, Financial Services, FinTech, SaaS, Software;Austin, Texas, United States, North America;CMT Digital, Collab+Currency, Deal Box, Hampstead Park Capital Management, MountX Capital, Naples Technology Ventures, Quansight Initiate, Shasta Ventures, Sputnik ATX, Tezos Foundation, Wave Digital Assets, Wedbush Capital Partners, Wedbush Ventures;_;13;Series A;May;13;2021
Optimal Dynanmics;Artificial Intelligence (AI), Logistics, Machine Learning, SaaS, Software, Supply Chain Management, Transportation;New York, New York, United States, North America;Bessemer Venture Partners, Embark Ventures, Fitz Gate Ventures, Fusion Fund, John Hess, John Larkin, TenOneTen Ventures, The Westly Group;Bessemer Venture Partners;8;Series A;May;13;2021
BluBracket;"
Cyber Security, Enterprise Software, Software";Palo Alto, California, United States, North America;Evolution Equity Partners, Firebolt Ventures, Point72 Ventures, SignalFire, Unusual Ventures;Evolution Equity Partners;5;Series A;May;13;2021
Cyral;Cloud Data Services, Cloud Security, SaaS;Redwood City, California, United States, North America;A.Capital Ventures, Costanoa Ventures, Redpoint, Silicon Valley CISO Investments;_;4;Series B;May;13;2021
Ursa Space Systems;Analytics, Business Intelligence, Information Services, Predictive Analytics;Ithaca, New York, United States, North America;Keith Masback, New York Ventures;—;2;Series B;May;17;2021
Data.world;Analytics, Cloud Data Services, Collaboration, Database, SaaS;Austin, Texas, United States, North America;Alumni Ventures, David Reuter, OurCrowd, Richard Braddock, Stephen Pagliuca, Vopak;Vopak;6;Series B;May;17;2021
Code Ocean;Information Services, Information Technology, Open Source;New York, New York, United States, North America;Battery Ventures, Digitalis Ventures, EBSCO, Vaal Investment Partners;Battery Ventures;4;Series A;May;17;2021
Shoreline.io;Cloud Computing, Developer Tools, DevOps, Software;Redwood City, California, United States, North America;Dawn Capital, Insight Partners;Insight Partners;2;Series B;may;18;2021
Styra;Cloud Infrastructure, Cloud Management, Cloud Security, Cyber Security, Software;Redwood City, California, United States, North America;A.Capital Ventures, Accel, Battery Ventures, Capital One Ventures, Cisco Investments, Citi Ventures, Unusual Ventures;Battery Ventures;7;Series B;May;18;2021
Syncari;Health Care, Information Technology, Internet, Manufacturing, SaaS, Software, Wholesale;Newark, California, United States, North America;ANIMO Ventures, Crosslink Capital, DIG Ventures, NextGen Venture Partners, SignalFire;Crosslink Capital;5;Series A;May;18;2021
Edge Impulse;Computer, Machine Learning, Web Apps;San Jose, California, United States, North America;Acrew Capital, Canaan Partners, Fika Ventures, Knollwood Investment Advisory, Momenta;Canaan Partners;5;Series A;May;18;2021
Coiled;Artificial Intelligence (AI), Cloud Computing, Machine Learning;New York, New York, United States, North America;Bessemer Venture Partners, Costanoa Ventures, FirstMark, IA Ventures;Bessemer Venture Partners;4;Series A;May;18;2021
Help Lightning;Augmented Reality, B2B, Food and Beverage, Medical, Mobile, SaaS, Software;Birmingham, Alabama, United States, North America;Larsen & Toubro, Tech Square Ventures;Larsen & Toubro;2;Series A;May;19;2021
Help Lightning;Augmented Reality, B2B, Food and Beverage, Medical, Mobile, SaaS, Software;Birmingham, Alabama, United States, North America;Larsen & Toubro, Tech Square Ventures;Larsen & Toubro;2;Series A;May;19;2021
Assignar;Business Intelligence, Construction, SaaS, Scheduling, Software;Denver, Colorado, United States, North America;Fifth Wall, Ironspring Ventures, Tola Capital;Fifth Wall;3;Series B;May;19;2021
WeaveGrid;Automotive, Electric Vehicle, Machine Learning, Renewable Energy, Software, Transportation;San Francisco, California, United States, North America;Breakthrough Energy Ventures, Climactic VC, Coatue, Grok Ventures, Josh Felser, Ramez Naam, The Westly Group;Coatue;7;Series A;May;20;2021
Superconductive;Data Integration;Redwood City, California, United States, North America;Collaborative Fund, Harrison Metal, LightShed Ventures, Redpoint, SIP Global Partners, Third Kind Venture Capital;Index Ventures;6;Series A;May;20;2021
Esper;Application Performance Management, Developer Platform, DevOps, Enterprise Applications, Security;Bellevue, Washington, United States, North America;Haystack, Madrona, Root Ventures, Scale Venture Partners, Ubiquity Ventures;Scale Venture Partners;5;Series B;May;20;2021
Great Expectations;Analytics, Cloud Computing, Consulting, Data Management, Software;Salt Lake City, Utah, United States, North America;Ameet Patel, CRV, Index Ventures, Root Ventures, Zero Prime Ventures;Index Ventures;5;Series A;May;21;2021
Cloud Campaign;Advertising, B2B, Marketing, SaaS, Social Media Marketing, Software;Boulder, Colorado, United States, North America;Access Venture Partners, Active Capital, Oregon Venture Fund, The R-Group;Access Venture Partners, Oregon Venture Fund;4;Series A;May;21;2021
Fireflies.ai;Enterprise Software, Meeting Software, Messaging, Software;San Francisco, California, United States, North America;Canaan Partners, Khosla Ventures;Khosla Ventures;2;Series A;may;24;2021
Ultipa;Artificial Intelligence (AI), Big Data, Database, FinTech, Risk Management, SaaS, Software;San Ramon, California, United States, North America;CMB International Capital Corporation, GIC;GIC;2;Series A;May;24;2021
Solidus Labs;Cryptocurrency, Financial Services, FinTech, Machine Learning, SaaS;New York, New York, United States, North America;645 Ventures, Aleksandr Yampolskiy, Alex Acree, Avon Ventures, Daniel Gorfine, David Krell, Evolution Equity Partners, FTX, Hanaco Venture Capital, J. Christopher Giancarlo, Jeff Fagnan, Marc Epstein, Naval Ravikant, Sam Kassoumeh, Troy Paredes;Evolution Equity Partners;15;Series A;May;24;2021
Docbot;Artificial Intelligence (AI), Enterprise Software, Health Care, Information Technology, Machine Learning, Medical Device;Irvine, California, United States, North America;Bold Capital Partners, Boutique Venture Partners, Collaborative Fund, Incisive Ventures, Khosla Ventures, SAV (Scale Asia Ventures);"
Khosla Ventures";6;Series A;May;24;2021
VERO;Predictive Analytics, Property Management, Real Estate;New York, New York, United States, North America;Bienville Capital, LeFrak, Plug and Play, Red House;Bienville Capital;4;Series A;May;24;2021
Tdengine;Analytics, Data Storage, Database, Internet, Internet of Things, Software;Los Gatos, California, United States, North America;GGV Capital, HSG, Index Capital, Matrix Partners China;Matrix Partners China;4;Series B;May;24;2021
Qualified;B2B, Chatbot, Generative AI, Marketing, Marketing Automation, Meeting Software;San Francisco, California, United States, North America;Norwest, Redpoint, Salesforce Ventures;"
Salesforce Ventures";3;Series B;May;25;2021
Sharebite;B2B, Catering, Delivery, Delivery Service, Enterprise Software, Food Delivery, Office Administration, Professional Services, Subscription Service;New York, New York, United States, North America;Essential Capital, Kevin Alvarez Fung, Lafayette Square, Liberty City Ventures, London Technology Club, Lukasz Gadowski, Paul Appelbaum, Perry Capital, Reign Ventures, RiverPark Ventures, Todd Arky;Lafayette Square;11;Series A;May;25;2021
Airbyte;Analytics, Data Integration, Generative AI, Open Source, Productivity Tools;San Francisco, California, United States, North America;8VC, Accel, Astasia Myers, Auren Hoffman, Benchmark, Dev Ittycheria, Duro Ventures, Eric Chernoff, Flex Capital, Shay Banon, SV Angel, Y Combinator;Benchmark;12;Series A;May;25;2021
Hyro;Artificial Intelligence (AI), B2B, Generative AI, Health Care, Health Insurance, Hospital, Natural Language Processing, SaaS, Virtual Assistant;New York, New York, United States, North America;(ERA) Entrepreneurs Roundtable Accelerator, Hanaco Venture Capital, Mindset Ventures, Spero Ventures, Spider Capital, Twilio;Spero Ventures;6;Series A;May;25;2021
Wiz;Cloud Security, Cyber Security, Enterprise Software, Security;New York, New York, United States, North America;Aglaé Ventures, Blackstone Group, Salesforce Ventures;Salesforce Ventures;3;Series B;May;25;2021
MacroFab;Electronics, Hardware, Internet of Things, Manufacturing, SaaS;Houston, Texas, United States, North America;Altium, ATX Venture Partners, Edison Partners;Edison Partners;3;Series B;May;25;2021
Ramon.Space;Aerospace, Computer, Electronics, Machine Learning, Semiconductor, Software;Los Altos, California, United States, North America;Deep Insight, Grove Ventures, StageOne Ventures, UMC Capital, WorldQuant Ventures LLC;StageOne Ventures;5;Series A;May;25;2021
Sentieo;Analytics, Financial Services, FinTech, Hedge Funds, Market Research, SaaS, Search Engine, Wealth Management;San Francisco, California, United States, North America;Centana Growth Partners, Singh Capital Partners, Studio Management, Ten Coves Capital;Ten Coves Capital;4;Series B;May;25;2021
Prismic;CMS, Content, Developer APIs, SaaS, Software;San Francisco, California, United States, North America;Aglaé Ventures, Eurazeo;Aglaé Ventures, Eurazeo;2;Series A ;may;26;2021
DataDome;Analytics, Cyber Security, Fraud Detection, Internet, Machine Learning, SaaS, Software;New York, New York, United States, North America;Elephant, Isai;Elephant;2;Series B;May;26;2021
RightBound;B2B, SaaS, Sales Automation;Kirkland, Washington, United States, North America;Gil Shklarski, IBI Tech Fund, Innovation Endeavors, Nat Turner, Operator Collective, Zach Weinberg;Innovation Endeavors;6;Series A;May;26;2021
RevenueCat;Big Data, Developer APIs, Developer Tools, Mobile Apps, Mobile Payments;San Francisco, California, United States, North America;Adjacent, FundersClub, Index Ventures, Nicolas Dessaigne, Oakhouse Partnaers, SaaStr, Tobias Balling, Y Combinator Continuity Fund;Y Combinator Continuity Fund;8;Series B;May;27;2021
Antrophic;Artificial Intelligence (AI), Generative AI, Information Technology, Machine Learning;San Francisco, California, United States, North America;Center for Emerging Risk Research, Dustin Moskovitz, Eric Schmidt, Jaan Tallinn, James McClave;"
Jaan Tallinn";5;Series A;May;28;2021
Chowly;Data Integration, Food and Beverage, Food Delivery, Food Processing, Information Technology, Restaurants, Technical Support;Chicago, Illinois, United States, North America;Branded Hospitality, Chicago Ventures, DG VENTURES, M25, MATH Venture Partners, Valor Equity Partners;_;6;Series B;May;31;2021
Reflexity;Artificial Intelligence (AI), Cryptocurrency, FinTech, Machine Learning;New York, New York, United States, North America;Fifth Down Capital, Flucas Ventures, Greycroft, MUFG Innovation Partners, Rose Park Advisors;Fifth Down Capital, Greycroft, Rose Park Advisors;5;Series A;May;31;2021
Paywallet;Mobile Payments, Payments, SaaS, Software;Jacksonville, Florida, United States, North America;Arcadia Funds, PruVista Capital;Arcadia Funds, PruVista Capital;2;Series A ;jun;1;2021
Lucy;Artificial Intelligence (AI), Consulting, Consumer Goods, Consumer Research, Human Resources, Information Technology, Retail, SaaS, Software;Minneapolis, Minnesota, United States, North America;Dallas Venture Capital, Daren Cotter;Dallas Venture Capital;2;Series A;Jun;1;2021
Spiff;Financial Services, FinTech, SaaS, Sales, Sales Automation;Sandy, Utah, United States, North America;Alexi Robichaux, Crew Capital, Daniel Dines, Hanno Renner, Kickstart, Leslie Stretch, Lightspeed Venture Partners, Marc Maloy, Mark Anderson, Norwest, Paul Melchiorre, Peterson Ventures, Salesforce Ventures, Stripes;Lightspeed Venture Partners;14;Series B;Jun;1;2021
ElectroNeek;Artificial Intelligence (AI), B2B, Developer Platform, Developer Tools, Information Technology, Robotic Process Automation (RPA), Software;Austin, Texas, United States, North America;Andrew Izyumov, Angelsdeck Global Ventures, Association and CPA.com Startup Accelerator, Baring Vostok Capital Partners, Dragon Capital, Gokul Rajaram, I2BF Global Ventures, YellowRockets;Baring Vostok Capital Partners;8;Series A;Jun;1;2021
DealHub.io;Contact Management, CRM, E-Commerce Platforms, Information Technology, SaaS, Sales Automation, Software;Austin, Texas, United States, North America;Cornerstone Venture Partners, Israel Growth Partners;Israel Growth Partners;2;Series B;jun;2;2021
Iterative.ai;Artificial Intelligence (AI), Cloud Data Services, Data Integration, Machine Learning;San Francisco, California, United States, North America;468 Capital, Afore Capital, True Ventures;468 Capital;3;Series A;Jun;2;2021
LambdaTest;Cloud Infrastructure, Developer Tools, SaaS, Usability Testing;San Francisco, California, United States, North America;Peak XV Partners, Titanium Ventures, Wamda Capital;Peak XV Partners;3;Series B;Jun;2;2021
